#img,#href,#name,Title,Original Title,Year,Style,Genre,Media,Dimensions,Location,Tags#multi,var#number,var/var#number
the-moth-1960,http://www.wikiart.org/en/balthus/the-moth-1960,The Moth - Balthus,The Moth,La Phalene,1960.0,Expressionism,genre painting,"tempera, canvas",130 x 162 cm,"Musée National d'Art Moderne, Centre Georges Pompidou, Paris, France",lamps-and-candles|dreams-and-hallucinations|night,1.0,1.0
large-landscape-with-a-tree-1957,http://www.wikiart.org/en/balthus/large-landscape-with-a-tree-1957,Large Landscape with a Tree - Balthus,Large Landscape with a Tree,,1957.0,Expressionism,landscape,"oil, canvas",162 x 130.5 cm,"Musée National d'Art Moderne, Centre Georges Pompidou, Paris, France",countryside|cottages-and-farmhouses,2.0,1.0
painter-and-his-model-1981,http://www.wikiart.org/en/balthus/painter-and-his-model-1981,Painter and his Model - Balthus,Painter and his Model,,1981.0,Expressionism,genre painting,"tempera, canvas",230.5 x 226.5 cm,"Musée National d'Art Moderne, Centre Georges Pompidou, Paris, France",arts-and-crafts|studios-and-workshops,2.0,1.0
window-cour-de-rohan-1951,http://www.wikiart.org/en/balthus/window-cour-de-rohan-1951,"Window, Cour de Rohan - Balthus","Window, Cour de Rohan",,1951.0,Metaphysical art,cityscape,"oil, canvas",,"Musée National d'Art Moderne, Centre Georges Pompidou, Paris, France",houses-and-buildings|doors-and-windows,3.0,1.0
the-turkish-room-1963,http://www.wikiart.org/en/balthus/the-turkish-room-1963,The Turkish Room - Balthus,The Turkish Room,,1963.0,Expressionism,nude painting (nu),"tempera, canvas",,"Musée National d'Art Moderne, Centre Georges Pompidou, Paris, France",women-and-mirrors|leisure-and-sleep,4.0,1.0
cathy-s-toilette-1933,http://www.wikiart.org/en/balthus/cathy-s-toilette-1933,Cathy's toilette - Balthus,Cathy's toilette,,1933.0,Expressionism,literary painting,,,"Musée National d'Art Moderne, Centre Georges Pompidou, Paris, France",female-nude|women-and-mirrors,5.0,1.0
children-1937,http://www.wikiart.org/en/balthus/children-1937,Children - Balthus,Children,,1937.0,Surrealism,genre painting,"tempera, canvas",,"Musée Picasso, Paris, France",children,1.0,1.0
the-cardgame-1973,http://www.wikiart.org/en/balthus/the-cardgame-1973,The cardgame - Balthus,The cardgame,,1973.0,Expressionism,genre painting,"tempera, canvas",225 x 190 cm,"Museum Boijmans van Beuningen, Rotterdam, Netherlands",games-and-sport,2.0,1.0
drawing-room-1942,http://www.wikiart.org/en/balthus/drawing-room-1942,Drawing room - Balthus,Drawing room,,1942.0,Expressionism,genre painting,,146.9 x 114.8 cm,"Museum of Modern Art, New York, USA",animals|children|cats|reading-and-writing|leisure-and-sleep,5.0,1.0
the-street-1933,http://www.wikiart.org/en/balthus/the-street-1933,The street - Balthus,The street,,1933.0,Metaphysical art,genre painting,"oil, canvas",240 x 195 cm,"Museum of Modern Art, New York, USA",streets-and-squares,1.0,1.0
joan-miro-and-his-daughter-dolores-1937,http://www.wikiart.org/en/balthus/joan-miro-and-his-daughter-dolores-1937,Joan Miro and his daughter Dolores - Balthus,Joan Miro and his daughter Dolores,Joan Miro et Sa Fille Dolores,1937.0,Expressionism,portrait,"oil, canvas",88.9 x 130.2 cm,"Museum of Modern Art, New York, USA",famous-people|family-portraits,5.0,1.0
