PPL/XP,Analytical Code,#img,Image Width (mm),Fabric Code,Petrographic Fabric,#name,Site,Latitude#number,Longitude#number,Artifact Number#long,Vessel Form Type,Period,Fe ppm (INAA)#number,Na ppm (INAA)#number,Ca ppm (INAA)#number,Sm ppm (INAA)#number,Lu ppm (INAA)#number,U ppm (INAA)#number,Yb ppm (INAA)#number,As ppm (INAA)#number,Sb ppm (INAA)#number,La ppm (INAA)#number,Ce ppm (INAA)#number,Th ppm (INAA)#number,Cr ppm (INAA)#number,Hf ppm (INAA)#number,Cs ppm (INAA)#number,Sc ppm (INAA)#number,Rb ppm (INAA)#number,Ta ppm (INAA)#number,Co ppm (INAA)#number,Eu ppm (INAA)#number,petfab_computed
PPL,KTJ001,KOM(1),8.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2849,Transport Stirrup Jar,Late Minoan IIIB,6.12,0.97,7.72,5.27,0.38,2.9,2.86,7.7,1.0,29.0,63.1,9.87,321.0,4.28,5.7,22.17,70,1.1,35.43,1.18,Main south-central Cretan Fabric
XP,KTJ001,KOMX(1),8.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2849,Transport Stirrup Jar,Late Minoan IIIB,6.12,0.97,7.72,5.27,0.38,2.9,2.86,7.7,1.0,29.0,63.1,9.87,321.0,4.28,5.7,22.17,70,1.1,35.43,1.18,Main south-central Cretan Fabric
PPL,KTJ001,PPL_KOM_001_033_,3.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2849,Transport Stirrup Jar,Late Minoan IIIB,6.12,0.97,7.72,5.27,0.38,2.9,2.86,7.7,1.0,29.0,63.1,9.87,321.0,4.28,5.7,22.17,70,1.1,35.43,1.18,Quartz and Calcite Fabric
XP,KTJ001,XPL_KOM_001_033_,3.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2849,Transport Stirrup Jar,Late Minoan IIIB,6.12,0.97,7.72,5.27,0.38,2.9,2.86,7.7,1.0,29.0,63.1,9.87,321.0,4.28,5.7,22.17,70,1.1,35.43,1.18,Main south-central Cretan Fabric
PPL,KTJ002,KOM(2),8.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2893,Transport Stirrup Jar,Late Minoan IIIB,5.88,1.59,7.32,5.61,0.35,4.6,2.76,12.3,1.3,30.9,59.1,9.7,313.0,4.04,7.84,21.45,110,1.0,34.62,1.13,Main south-central Cretan Fabric
XP,KTJ002,KOMX(2),8.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2893,Transport Stirrup Jar,Late Minoan IIIB,5.88,1.59,7.32,5.61,0.35,4.6,2.76,12.3,1.3,30.9,59.1,9.7,313.0,4.04,7.84,21.45,110,1.0,34.62,1.13,Main south-central Cretan Fabric
PPL,KTJ002,PPL_KOM_002_033_,3.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2893,Transport Stirrup Jar,Late Minoan IIIB,5.88,1.59,7.32,5.61,0.35,4.6,2.76,12.3,1.3,30.9,59.1,9.7,313.0,4.04,7.84,21.45,110,1.0,34.62,1.13,Main south-central Cretan Fabric
XP,KTJ002,XPL_KOM_002_033_,3.3,A,Main south-central Cretan Fabric,Main south-central Cretan Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2893,Transport Stirrup Jar,Late Minoan IIIB,5.88,1.59,7.32,5.61,0.35,4.6,2.76,12.3,1.3,30.9,59.1,9.7,313.0,4.04,7.84,21.45,110,1.0,34.62,1.13,Main south-central Cretan Fabric
PPL,KTJ003,KOM(3),8.3,D,Fine Calcareous Phyllite Fabric,Fine Calcareous Phyllite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3318,Transport Stirrup Jar,Late Minoan II,5.12,1.25,3.11,4.46,0.32,2.4,2.52,4.2,0.6,23.7,56.8,9.12,348.0,4.33,6.29,18.98,110,0.8,24.04,0.94,Main south-central Cretan Fabric
XP,KTJ003,KOMX(3),8.3,D,Fine Calcareous Phyllite Fabric,Fine Calcareous Phyllite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3318,Transport Stirrup Jar,Late Minoan II,5.12,1.25,3.11,4.46,0.32,2.4,2.52,4.2,0.6,23.7,56.8,9.12,348.0,4.33,6.29,18.98,110,0.8,24.04,0.94,Macrofossiliferous Clay Pellet Fabric
