PPL/XP,Analytical Code#long,#img,Image Width (mm),Fabric Code,Petrographic Fabric,#name,Site,Latitude#number,Longitude#number,Artifact Number#long,Decoration/Ware,Period,Fe ppm (INAA)#number,Na ppm (INAA)#number,Ca ppm (INAA)#number,Sm ppm (INAA)#number,Lu ppm (INAA)#number,U ppm (INAA)#number,Yb ppm (INAA)#number,As ppm (INAA)#number,Sb ppm (INAA)#number,La ppm (INAA)#number,Ce ppm (INAA)#number,Th ppm (INAA)#number,Cr ppm (INAA)#number,Hf ppm (INAA)#number,Cs ppm (INAA)#number,Sc ppm (INAA)#number,Rb ppm (INAA)#number,Ta ppm (INAA)#number,Co ppm (INAA)#number,Eu ppm (INAA)#number,Tb ppm (INAA)#number
PPL,CYC001,PPL_CYL_001_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
XP,CYC001,XPL_CYL_001_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
PPL,CYC001,PPL_CYL_001_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
XP,CYC001,XPL_CYL_001_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
PPL,CYC002,PPL_CYL_002_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
XP,CYC002,XPL_CYL_002_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
PPL,CYC002,PPL_CYL_002_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
XP,CYC002,XPL_CYL_002_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
PPL,CYC003,PPL_CYL_003_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
XP,CYC003,XPL_CYL_003_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
PPL,CYC003,PPL_CYL_003_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
XP,CYC003,XPL_CYL_003_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
PPL,CYC004,PPL_CYL_004_097_,9.7,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 4,Red Matt Painted,Middle Neolithic,3.46,0.37,11.82,6.51,0.46,3.0,3.59,24.5,1.4,33.8,66.7,12.60,168,4.42,8.42,21.5,80,1.0,19.21,1.38,1.0
XP,CYC004,XPL_CYL_004_097_,9.7,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 4,Red Matt Painted,Middle Neolithic,3.46,0.37,11.82,6.51,0.46,3.0,3.59,24.5,1.4,33.8,66.7,12.60,168,4.42,8.42,21.5,80,1.0,19.21,1.38,1.0
PPL,CYC004,PPL_CYL_004_021_,2.1,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 4,Red Matt Painted,Middle Neolithic,3.46,0.37,11.82,6.51,0.46,3.0,3.59,24.5,1.4,33.8,66.7,12.60,168,4.42,8.42,21.5,80,1.0,19.21,1.38,1.0
